english	german
abscess	Abszess
abdomen	Abdomen|Bauch
abdominal cavity	Bauchhöhle|Abdominalraum|Cavitas abdominis|Cavitas abdominalis
abdominal wall	Bauchdecke
ability to	Fähigkeit zu
able to	fähig zu|kann
abnormal	abnorm|auffällig
above reference range	oberhalb Referenzbereich|über Referenzbereich|erhöht
absence of signs and symptoms	Fehlen von Anzeichen und Symptomen|fehlende Anzeichen und Symptome
abuse	Missbrauch|Misshandlung|Abusus|schädlicher Gebrauch
abrasion	Schürfwunde|Abschürfung
accidental	unbeabsichtigt|versehentlich
active range	aktiver Bewegungsumfang
acute-on-chronic	akut-auf-chronisch
administration of	Verabreichung
adverse reaction to	unerwünschte Wirkung von
affecting pregnancy	mit Auswirkung auf Schwangerschaft
allergy to	Allergie gegen|Allergie|allergisch auf
alteration	Veränderung
altered	verändert
AND/OR	und/oder
ankle|ankle region|ankle region structure	Sprunggelenksbereich|im Bereich des Sprunggelenks
anomaly	Anomalie
antibody	Antikörper|Immunglobulin
anxiety	Angst
articular cartilage disorder	Chondropathie|Gelenkknorpelerkrankung
as a whole	als Ganzes
asked to come in	Aufforderung zur Wiedervorstellung|Patient/Patientin einberufen|Patient*in einberufen
assault	Übergriff|Angriff|Überfall|Belästigung
assessment	Assessment
assistance	Assistenz
assisting with	assistieren
associated with	verbunden mit
at increased risk for	mit erhöhtem Risiko für|erhöhtes Risiko für
at risk for	mit Risiko für|Risiko für
at site of	an der Stelle des/der/eines/einer
bacterial	bakteriell/e/s|durch Bakterien
basal cell carcinoma (fully specified name)|basalioma	Basalzellkarzinom|Basaliom
below reference range	unterhalb Referenzbereich|unter Referenzbereich|erniedrigt
benign	gutartig|benigne
bilateral	beidseitig|beidseits|beide|bilateral
bile duct	Gallengang
biliary tract	Gallenwege|Gallensystem|Gallentrakt
birth	Geburt
blood group	Blutgruppe
body requirement	Energiebedarf|Nährstoffbedarf
breast	Mamma|Brust
carcinoma	Karzinom
carcinoma in situ	Carcinoma in situ
cardivascular system	kardiovaskuläres System|Herz-Kreislauf-System
care planning	Versorgungsplanung
caregiver	pflegende Person
carrier	Träger
caused by	durch
cerebellar	zerebellar|zerebellär|Kleinhirn-
cervix	Zervix|Cervix uteri|Gebärmutterhals
checking	überprüfen
chemical burn	chemische Verbrennung|Verätzung
chest	Thorax|Brustkorb|Brust
co-occurrent and due to	mit und durch
co-occurrent	bei (wenn möglich)|mit|und|gleichzeitig auftretend mit
colon	Kolon
combined immunodeficiency	kombinierter Immundefekt|kombinierte Immundefizienz
combined site	als kombinierte Lokalisation|in Kombination
community	Community|Gemeinde
community services	kommunale Dienste
compliance|adherence	Adhärenz|Compliance
complicating pregnancy	als Schwangerschaftskomplikation
complies with|adheres to	ist adhärent mit|ist compliant mit
congenital	angeboren|kongenital
congestive	Stauungs-|kongestiv|dilatative
contraindicated	kontraindiziert|-Kontraindikation
conventional release eye drops	Augentropfen mit Sofortwirkung
constipation	Obstipation|Konstipation|Verstopfung|Darmträgheit
contusion	Kontusion|Prellung
coping	Coping|Bewältigung
cornea	Kornea|Hornhaut
corrosion	Verätzung
counseling	Beratung
cramp	Krampf|Muskelkrampf
cryptogen	idiopathisch|kryptogen
declined	abgelehnt
decrease	Verminderung
decreased	vermindert
deficient	defizitär
deficient knowledge	unzureichende Kenntnisse|mangelnde Kenntnisse
deficit	Defizit
deformity	Fehlbildung|-fehlbildung|Deformität
degloving injury	Ablederungswunde|Décollement|Decollement
delivery	Entbindung|Geburt
demonstrates	zeigt
demonstrates knowledge	zeigt Kenntnisse
denture	Zahnprothese|Zahnersatz|künstliches Gebiss
derangement	Schaden
deprivation	Entzug|Deprivation
deterioration	Verschlechterung
diabetes mellitus type 1	Diabetes mellitus Typ 1|Typ-1-Diabetes|Diabetes Typ 1
diabetes mellitus type 2	Diabetes mellitus Typ 2|Typ-2-Diabetes|Diabetes Typ 2
diarrhea	Diarrhö|Durchfall|Diarrhoe
diet (regime/therapy)	Kost|Ernährung
dietetic	ernährungsbedingt
difficulty	Schwierigkeit
diphtheria	Diphtherie
disability	Behinderung
discharge	Sekret|Ausfluss|Entlassung|Austritt
disease	Krankheit|Erkrankung
disorder	Erkrankung|Störung
discomfort	Unbehagen|Unwohlsein
displacement of intervertebral disc	Verlagerung einer Bandscheibe|Verschiebung einer Bandscheibe
disturbance	Störung
disturbed	gestört
dizziness	Schwindelgefühl
doppler ultrasonography	Doppler-Sonographie|Doppler-Sonografie
drowsiness	Benommenheit
drug	Medikament
drug-induced|caused by drug|caused by medication	medikamenteninduziert
due to	durch
due to and following	durch und nach
duplex ultrasonography	Duplex-Sonographie|Duplex-Sonografie
dysfunction	Dysfunktion
dysfunctional	dysfunktional
each conventional release oral tablet	pro Tablette mit unmittelbarer Wirkstofffreisetzung
education	Edukation|Schulung
effective	effektiv
effects of	Folgen von|Auswirkungen von
elbow	Ellenbogen|Ellbogen
entire	gesamt
evaluation	Evaluation
event	Ereignis
excoriation	Exkoriation
exercise	Übung
external ear	Außenohr|äußeres Ohr|Auris externa
facilitation	Unterstützung
family history of	Familienanamnese
fear	Furcht
female	bei der Frau
fenestration	Fenestrierung|Fensterung
fetal	fetal|fötal
finding	Befund
fifth toe|little toe	Kleinzehe|Kleinzeh|kleine Zehe|kleiner Zeh
fistulization	Anlage einer Fistel|Fistulisierung
for injection	zur Injektion
for injection vial	für Injektionsfläschchen
for radiotherapy planning	zur Strahlentherapieplanung
fracture	Fraktur
